text,label
"послушай и найди на картинке артистов, которые здороваются и знакомятся с тобой",unclassified
"послушай и повтори, как знакомятся с артисты",языковые
разыграйте с одноклассником,коммуникативные
послушай и повтори названия профессий,языковые
"назови и сосчитай артистов, которые пришли на детский праздник",коммуникативные
объяви выход артистов,unclassified
"догадайся, какие цифры спрятались назови правильном порядке",коммуникативные
"послушай и повтори вопросы тома, на которые отвечает артист",языковые
"скажи, кто ты, как тебя зовут и сколько тебе лет",коммуникативные
узнай у артистов,unclassified
послушай и повтори рифмовку,языковые
расскажи о себе,коммуникативные
объяви их выход,unclassified
"посчитай и скажи, сколько мыльных пузырей получилось у каждого артиста",коммуникативные
"догадайся и назови, какие цифры потерялись на празднике",коммуникативные
"послушай разговор тома с одним из артистов. скажи, кто это",коммуникативные
расспроси одноклассника,unclassified
попробуй посчитать до,unclassified
представтся от имени артиста,unclassified
"послушай рассказ одного из них. найди его на картинке и скажи, кто это",коммуникативные
"скажи, что умеют делать эти артисты",коммуникативные
"скажи, что ты умеешь делать",коммуникативные
"скажи, что он умеет",коммуникативные
вспомни и назови все команды,коммуникативные
вспомни и назови английские согласные,коммуникативные
представься и расскажи,коммуникативные
послушай и повтори названия вещей. найди их на картинке.,языковые
"скажи, кто ты, как тебя зовут и сколько тебе лет",коммуникативные
узнай у одноклассников умеют ли они...,unclassified
"скажи, какие вопросы дети задают друг другу",коммуникативные
продолжи разговор,unclassified
сосчитай их и назови в алфавитном порядке,коммуникативные
"скажи, что ты узнал о нем",коммуникативные
"назови цифры, которых там нет",коммуникативные
"скажи, как Трикки готовит",коммуникативные
скажи какое домашнее животное есть у тебя ,коммуникативные
скажи. чего на самом деле эти животные не умеют делать,коммуникативные
"скажи, какие цифры потерял Тим",коммуникативные
"скажи, что Алиса умеет делать",коммуникативные
"скажи, о чем она забыла рассказать",коммуникативные
"посчитай, сколько на ней гласных букв",unclassified
расскажи какого цвета твои школьные принадлежности,коммуникативные
скажи какого цвета воздушные шары и осенние листья,коммуникативные
назови цвета которые можво увидеть в осеннем лесу ,коммуникативные
разыграйте с одноклассником беседу налиста и лучшей актрисы театра,коммуникативные
найди гласную букву картинке,unclassified
послушай и повтори рифмовку,языковые
расскажи мартину себе,коммуникативные
найди согласную букву р картинке,unclassified
послушай и повтори рифмовку,языковые
послушай джилл браун рассказывает своей семье посмотри картинку и назови всех е членов,коммуникативные
расскажи семье браун имени джима джилл используй модель,коммуникативные
выбери и назови лишнюю букву,коммуникативные
найди согласную букву картинке послушай и повтори рифмовку,языковые
послушай и назови того рассказывает своей семье,коммуникативные
посмотри картинки и скажи рассказать своей семье каждый этих артистов,коммуникативные
разыграйте с одноклассником разговор трикки с томасом семье,коммуникативные
послушай и спой песню дружбе вместе с артистами,unclassified
назови цвет страница скажи сколько листьев и какого цвета нарисовал мартин,коммуникативные
назови цвета листьев которых бывает в природе,коммуникативные
сосчитай и скажи сколько животных в зоопарке,коммуникативные
угадай и назови какое домашнее живот есть у алисы,языковые
составь пары глухие звонкие домашнее задание выполни в рабочей тетради упражнения странице страница,unclassified
разыграйте с одноклассником беседу тима с джоном,коммуникативные
послушай и повтори рифмовку,языковые
послушай и повтори названия спортивных в которые умеет играть трикки,языковые
изобрази в какие спортивные игры умеешь играть пусть одноклассники догадаются и назовут,языковые
посмотри картинки догадайся и каких слов состоят названия этих,unclassified
скажи сколько и какие животные есть этой ферме,коммуникативные
расспроси о семье и домашних животных,unclassified
расскажи в своей радиопередаче однокласснику,коммуникативные
найди согласную букву х картинке послушай и повтори рифмовку,языковые
угадай в какие спортивные игры умеют играть и,языковые
посмотри предметы занятий спор и расскажи билли может использовать ф,коммуникативные
послушай и скажи действительно умеет а чего умеет делать,коммуникативные
расспроси трех своих одноклассников спорта которыми занимаются заполни таблицу,языковые
"Послушай и повтори, как Том репетирует новое стихотворение",языковые
Прочитай вслух слова,unclassified
Прочитай про себя загадку,unclassified
Послушай и спой песенку о дружбе,языковые
Прочитай предложения: Выбери верный ответ из предложенных,unclassified
Послушай и повтори рифмовку за ней,языковые
Послушай и прочитай,unclassified
"Назови слова, в которых есть эти звуки:",коммуникативные
Прочитай предложения и назови номера соответствующих им картинок.,коммуникативные
"Прочитай слова, которые можно обозначить значками",unclassified
Послушай рассказ Джона о его питомце: Догадайся и назови его,коммуникативные
Выбери  верный ответ из предложенных,unclassified
"Послушай, повтори и прочитай считалку самостоятельно",языковые
Придумай предложения co словами,unclassified
